SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
512273,ARONI COMM  ,B ,Q,46.20,46.20,46.20,46.20,46.20,44.00,3,85,3927.00,
512289,SHIRPUR GOLD,B ,Q,71.20,79.50,71.00,77.25,77.25,72.20,400,28483,2163990.00,
512296,BHAGYA INL  ,B ,Q,17.40,18.00,15.55,17.10,17.00,17.40,53,8034,136634.00,
512299,STERL.BIOTEC,B ,Q,6.45,6.50,6.36,6.43,6.46,6.42,168,93964,605117.00,
512301,CHAMBAL BREW,B ,Q,12.26,12.26,11.10,12.12,12.25,11.68,118,52999,637772.00,
512319,RAJLAXMI IND,B ,Q,3.90,3.95,3.89,3.89,3.89,3.90,4,2701,10526.00,
512332,BIRLA CAP   ,B ,Q,0.57,0.57,0.57,0.57,0.57,0.59,5,6600,3762.00,
512344,ARAVALI SEC.,B ,Q,5.70,6.19,5.61,6.19,6.19,5.90,5,880,5173.00,
512369,ENNORE COKE ,B ,Q,11.15,11.15,10.35,11.14,11.14,11.00,11,1136,12310.00,
512379,CRESSANDA SO,B ,Q,1.95,1.95,1.95,1.95,1.95,1.98,16,10709,20882.00,
512381,NIVEDITA MER,T ,Q,60.50,60.50,60.50,60.50,60.50,63.00,1,2,121.00,
512393,SHARDUL SECU,B ,Q,45.50,46.00,45.50,46.00,46.00,46.80,6,1205,54932.00,
512417,TRITRADE    ,B ,Q,7.50,7.50,7.50,7.50,7.50,7.65,2,6,45.00,
512425,NIRAV COMMER,B ,Q,155.50,171.00,155.50,158.00,158.00,163.00,11,80,13419.00,
512437,APOLLO FIN I,B ,Q,14.95,15.25,14.60,15.25,15.25,15.10,8,1131,16640.00,
512441,ENBEE TRADG.,T ,Q,24.85,24.85,24.85,24.85,24.85,24.40,1,1,24.00,
512449,SVC RES     ,T ,Q,0.95,1.04,0.95,1.04,1.04,1.00,17,84500,80333.00,
512455,LLOYDS MET E,B ,Q,9.19,9.19,8.51,8.88,9.00,8.36,183,184383,1679615.00,
512463,SHREE GLOBAL,B ,Q,13.20,13.50,13.20,13.20,13.20,13.20,5,802,10587.00,
512465,SANTOWIN    ,B ,Q,0.37,0.37,0.37,0.37,0.37,0.36,1,50,18.00,
